Tell me about yourself,1,"“I have a number of accomplishments I'd like  to tell you about, but I want to make the best use of our time together and talk  directly to your needs. "
Tell me about a situation when your work was criticized.,0,I cannot say I've received much criticism.  I'm a honest employee and value my work.
What are your greatest strengths,1,I have a proven track record as an achiever…many of your achievements match up with the employer's greatest wants and needs. 
What are your greatest weaknesses? ,1,"You  know, I really can’t think of anything. I would add that as a  general management principle, I’ve found that the best way to avoid regrets is to avoid  causing them in the first place."
Who has inspired you in your life and why?,0,"I don't have a specific role model, but I did admire my high school basketball coach."
Tell me about something you did – or failed to do – that you now feel a little  ,1,"I practice one habit that helps me a great deal in this  regard. At the end of each day, I mentally review the day’s events and conversations to  take a second look at the people and developments I’m involved with"
How do you feel about working nights and weekends?,0,No way. I need weekends to myself as a personal boundary.
Aren’t you overqualified for this position?,1,"From my side, there are strong benefits, as well. Right now, I am unemployed. I want  to work, very much, and the position you have here is exactly what I love to do and am  best at. I’ll be happy doing this work and that’s what matters most to me, a lot more that  money or title."
Do you have the stomach to fire people? Have you had experience firing many people?,0,"In my experience, I've fired plenty. I'm not afraid to let someone go if they don't meet the company standards."
Where could you use some improvement?,1,"Keep this answer, like all your answers, positive. A good way to  answer this question is to identify a cutting-edge branch of your profession (one that’s  not essential to your employer’s needs) as an area you’re very excited about and want to  explore more fully over the next six months."
What would you do if a fellow executive on your own corporate level wasn’t  pulling his/her weight…and this was hurting your department? ,1,"One thing I wouldn’t do is let the problem slide, because it would only get  worse and overlooking it would set a bad precedent. I would try again and again and  again, in whatever way I could, to solve the problem, involving wider and wider circles of  people, both above and below the offending executive and including my own boss if  necessary, so that everyone involved can see the rewards for teamwork and the  drawbacks of non-cooperation."
What was the toughest challenge you’ve ever faced?,0,I would say doing science fair in school was tough. I struggled in the subject and could never understand the analysis. I can admit my weaknesses and science is one of them.
What was the toughest part of your last job?,1,"If pressed to expand your answer, you  could describe the aspects of the position you enjoyed more than others, making sure  that you express maximum enjoyment for those tasks most important to the open  position, and you enjoyed least those tasks that are unimportant to the position at hand."
How do you define success…and how do you measure up to your own,1,"As to how I would measure up to that definition, I would consider myself both successful  and fortunate…"
Are you willing to relocate or travel?,0,"I am not willing to relocate for a job. I'm not comfortable moving to a new, unfamiliar place."
How could you have improved your career progress?,0,"If I had not taken up my first job in customer service, I could have achieved more. I only learned harsh truths about how rude people can be and wasted my potential.  "
Where do you see yourself five years from now?,0,"I would like to become a software developer working on websites. I'm open to different fields, not any specific track."
Why have you been out of work so long?,1,"In my life, I’ve found out that you can always turn a negative into a positive IF you try hard enough. This is what I determined to do. I decided to take whatever time I needed to think through what I do best, what I most want to do, where I’d like to do it…and then identify those companies that could offer such an opportunity."
"How do you feel about reporting to a younger person (minority, woman, etc)?",0,"Hey, some of my best friends are considered a minority and I don't think of them any different."
Are you at liberty to discuss any confidential matters on your current employment?,1,"“I certainly want to be as open as I can about that. But I also wish to respect the rights of those who have trusted me with their most sensitive information, just as you would hope to be able to trust any of your key people when talking with a competitor"
